41299.00,0.154846446,1.308764379,1.43781783,2968775.332,20.51342849,18.8348,11.55,17666,11679176,46045,39799,1850305.298,1488829.447,40.13334087,3233127
41300.00,0.161965347,1.550108211,1.252675954,2968775.332,22.13679333,17.61926,9.466666667,18247,11732596,53420,40491,1390765.768,669916.2714,48.09323725,3244591
41301.00,0.15711523,2.415299709,1.295503574,2968775.332,22.43195058,17.99999,8.433333333,15128,11786047,53451,40004,1225546.146,527616.7337,47.75957992,3258669
41302.00,0.163484264,1.821509241,1.319544733,2968775.332,21.84163609,18.45,8.75,15506,11838368,52321,42353,1664814.38,1207193.956,42.66449033,3270026
41303.00,0.16213363,1.015912445,1.514072029,2968775.332,23.9077368,19.8,9.5,16885,11891985,53617,41643,2197913.609,1887662.594,50.78193782,3276089
41304.00,0.145844917,1.239905707,1.57565597,2968775.332,21.39890022,19.7,9.266666667,15686,11937795,45810,36938,2223436.633,987231.4995,39.13531897,3283864
41305.00,0.115647942,1.301746651,2.227411071,2968775.332,28.03993822,21.43,6.516666667,16186,11983899,46104,34477,2389465.516,2259602.834,42.31036818,3298739
41306.00,0.166099046,1.055128875,1.453876242,2968775.332,22.5795292,21.3,9.766666667,18874,12040655,56756,47420,1815712.841,1164197.394,49.20923656,3307946
41307.00,0.162435901,1.250690656,1.462876908,2968775.332,23.76015818,21.1,8.633333333,17383,12099489,58834,45504,1401641.502,1722750.228,54.79985834,3317095
41308.00,0.156754461,2.336048997,1.544046823,2968775.332,24.35047267,20.68,9.1,16161,12155701,56212,41758,1430890.763,801972.5148,72.35764756,3330016
41309.00,0.147602426,2.381382508,1.62855515,2968775.332,25.97383751,21.05,8.816666667,17821,12213181,57480,41685,1808986.763,1198782.575,47.3593669,3344674
41310.00,0.137778279,1.644628858,1.68902947,3275464.587,28.00576717,20.79,9.266666667,23359,12266626,53445,48193,2019250.363,695043.9712,42.90852642,3359292
41311.00,0.130097143,1.377451413,1.849798667,3275464.587,25.07493108,21.3339,9.5,19299,12311409,44783,42634,1924319.453,1255853.614,33.47964254,3366919
41312.00,0.174333074,1.389813614,1.424920553,3275464.587,24.09798571,22.15,9.766666667,20178,12369624,58215,44112,1741181.152,1592660.939,45.37600821,3378541
41313.00,0.192904901,1.679635065,1.294502336,3275464.587,24.74928262,22.15,11.55,20369,12435552,65928,46037,2048030.687,1192051.616,53.57266767,3388131
41314.00,0.166212478,1.930985428,1.603862505,3275464.587,22.14409498,23.69997,11.48333333,18174,12486399,50847,39368,1876122.146,982727.268,41.81383069,3396955
41315.00,0.155541213,2.364075981,1.705545473,3275464.587,26.70317335,23.61458,8.683333333,19316,12543762,57363,45554,1492597.605,1423219.144,43.83953143,3401759
41316.00,0.168617396,2.199390705,1.65484307,3275464.587,25.88905221,24.1955,8.966666667,17988,12602597,58835,41240,1371392.959,864351.2284,49.32792778,3404519
41317.00,0.187207007,1.32222721,1.586457347,3275464.587,23.28386457,25.76997,11.4,18081,12661448,58851,41227,1271739.572,2176732.65,48.61700477,3419337
41318.00,0.166736395,1.394352963,1.807964742,3275464.587,25.56340376,26.09999,9.566666667,16313,12718846,57398,40152,1270390.863,2488708.339,51.50697092,3430239
41319.00,0.152309335,1.592580722,2.044175139,3275464.587,26.70317335,26.53092,7.65,16942,12772695,53849,39268,1284821.739,4124577.626,49.49477446,3443340
41320.00,0.154962659,1.29253789,2.09071312,3275464.587,28.65706409,26.99898,7.966666667,17649,12830200,57505,39955,1569728.285,1576567.993,53.36447438,3451968
41321.00,0.124168868,2.718777443,2.525301457,3275464.587,30.77377905,27.07009,7.7,15330,12881418,51218,37901,1236901.977,664307.0038,53.91976276,3458791
41322.00,0.12625443,1.983219087,2.387567494,3275464.587,30.28530636,25.6083,7.55,14033,12931818,50400,36500,1025415.926,2298825.745,49.1021201,3472503
41323.00,0.134838795,1.677101876,2.352839104,3651011.631,29.22033639,26.81565,9.266666667,16973,12978136,46318,36918,1349064.956,920305.881,39.08462929,3482349
41324.00,0.153499506,1.714431131,2.17486165,3651011.631,30.12780025,28.78999,7.8,17047,13033734,55598,39259,1309651.245,3177223.423,50.51556581,3496338
41325.00,0.160215006,1.499536052,2.262844004,3651011.631,31.39824966,29.81231,8.533333333,18258,13091347,57613,39597,1297382.488,1255700.197,48.65658234,3510305
41326.00,0.139306843,1.962450283,2.511461737,3651011.631,35.7540762,29.80012,7.4,17339,13150343,58996,42228,1107815.609,1191756.77,47.39446,3525654
41327.00,0.165326199,1.579472659,2.140308571,3651011.631,29.22033639,30.901,10.28333333,18252,13209263,58920,43549,1477965.614,2324984.674,56.97276299,3539316
41328.00,0.171152006,1.74637439,2.02099212,3651011.631,29.40182916,29.27998,8.016666667,17279,13268649,59386,41330,1352726.486,2323418.914,49.74906996,3553129
41329.00,0.153016348,1.474455019,2.173450202,3651011.631,29.7648147,30.29777,8.416666667,16568,13326444,57795,41919,1587736.628,791910.7875,46.36386186,3564228
41330.00,0.153000749,1.598278828,2.292750589,3651011.631,35.39109065,30.25001,6.183333333,18098,13391608,65164,43083,1901371.972,890787.5352,64.694706,3578251
41331.00,0.179643916,1.439358397,1.975684074,3651011.631,28.13137975,31.179,9,19601,13453613,62005,45961,1573298.696,1531583.034,54.54951162,3581198
41332.00,0.142206527,2.313463813,2.557457744,3651011.631,36.84303283,31.40181,6.233333333,18868,13516565,62952,44197,1642449.476,1177542.257,52.05842396,3582684
41333.00,0.166609942,1.447394941,2.381519902,3651011.631,31.03526411,33.50001,8.25,19200,13577558,60993,43778,1331847.075,4512572.826,61.69368024,3583630
